"env_step","pdqn_SpaceInvaders-MinAtar - _step","pdqn_SpaceInvaders-MinAtar - _step__MIN","pdqn_SpaceInvaders-MinAtar - _step__MAX","pdqn_SpaceInvaders-MinAtar - model_loss","pdqn_SpaceInvaders-MinAtar - model_loss__MIN","pdqn_SpaceInvaders-MinAtar - model_loss__MAX"
"540672","132","132","132","0.1883214831352234","0.1794767528772354","0.196546733379364"
"544768","133","133","133","0.1886034354567528","0.1835184395313263","0.19444458186626434"
"548864","134","134","134","0.19079379141330718","0.18568266928195953","0.19521071016788483"
"552960","135","135","135","0.18934628814458848","0.18472792208194733","0.19362379610538483"
"557056","136","136","136","0.18355068564414978","0.17990131676197052","0.1924925297498703"
"561152","137","137","137","0.18557903915643692","0.1825329214334488","0.18820562958717346"
"565248","138","138","138","0.18491768538951875","0.18032117187976837","0.18910330533981323"
"569344","139","139","139","0.18378730863332748","0.18002533912658691","0.1883866786956787"
"573440","140","140","140","0.18200368136167527","0.17423489689826965","0.18963751196861267"
"577536","141","141","141","0.1836061805486679","0.17932413518428802","0.18704712390899658"
"581632","142","142","142","0.18528685271739959","0.1813930869102478","0.18857625126838684"
"585728","143","143","143","0.18468281179666518","0.17742928862571716","0.18832550942897797"
"589824","144","144","144","0.1832856982946396","0.17910420894622803","0.18841156363487244"
"593920","145","145","145","0.18088349848985671","0.17505832016468048","0.18561850488185883"
"598016","146","146","146","0.1811293587088585","0.1746848076581955","0.187192901968956"
"602112","147","147","147","0.1833300530910492","0.1767517775297165","0.18836472928524017"
"606208","148","148","148","0.17936310768127442","0.17241249978542328","0.1833941787481308"
"610304","149","149","149","0.17908864021301268","0.17472778260707855","0.18279245495796204"
"614400","150","150","150","0.17683371156454086","0.1701652556657791","0.18198029696941376"
"618496","151","151","151","0.18084592521190643","0.1766699105501175","0.1838112473487854"
"622592","152","152","152","0.17874614149332047","0.17223253846168518","0.1853712648153305"
"626688","153","153","153","0.18179306536912918","0.1774543821811676","0.1865980178117752"
"630784","154","154","154","0.17751523107290268","0.17149768769741058","0.18228906393051147"
"634880","155","155","155","0.17608330696821212","0.16030395030975342","0.18289677798748016"
"638976","156","156","156","0.17571348398923875","0.17155088484287262","0.17941614985466003"
"643072","157","157","157","0.1782306894659996","0.173334002494812","0.18307124078273773"
"647168","158","158","158","0.17740289717912675","0.17109456658363342","0.18418797850608826"
"651264","159","159","159","0.1743519738316536","0.1708340048789978","0.1792622059583664"
"655360","160","160","160","0.17647009640932082","0.1670963317155838","0.18295878171920776"
"659456","161","161","161","0.17464034706354142","0.16688576340675354","0.18094401061534882"
"663552","162","162","162","0.1721501514315605","0.167806476354599","0.1776987612247467"
"667648","163","163","163","0.17188180685043336","0.16561412811279297","0.17644892632961273"
"671744","164","164","164","0.1737636223435402","0.17116622626781464","0.1784319132566452"
"675840","165","165","165","0.17220105975866318","0.16302014887332916","0.17652927339076996"
"679936","166","166","166","0.17609951943159102","0.17102493345737457","0.18347400426864624"
"684032","167","167","167","0.17075504809617997","0.16706520318984985","0.17801666259765625"
"688128","168","168","168","0.1778551310300827","0.17328104376792908","0.18048621714115143"
"692224","169","169","169","0.17369398921728135","0.1620723158121109","0.1815555989742279"
"696320","170","170","170","0.1725692182779312","0.16709008812904358","0.1825515180826187"
"700416","171","171","171","0.17253933250904083","0.1702653467655182","0.17555095255374908"
"704512","172","172","172","0.16861252933740617","0.15947604179382324","0.17578306794166565"
"708608","173","173","173","0.17035169452428817","0.1604270190000534","0.18009865283966064"
"712704","174","174","174","0.17141963839530944","0.165958970785141","0.1762816607952118"
"716800","175","175","175","0.16999610364437104","0.15832357108592987","0.17596685886383057"
"720896","176","176","176","0.16913091540336608","0.1576537787914276","0.1740550994873047"
"724992","177","177","177","0.17434319853782654","0.16995462775230408","0.18199005722999573"
"729088","178","178","178","0.1701502248644829","0.16313378512859344","0.1772327572107315"
"733184","179","179","179","0.1693239063024521","0.16387489438056946","0.17509247362613678"
"737280","180","180","180","0.16972166746854783","0.16191233694553375","0.17491552233695984"
"741376","181","181","181","0.16943955570459365","0.16055609285831451","0.17245759069919586"
"745472","182","182","182","0.17030589729547502","0.16523593664169312","0.17425601184368134"
"749568","183","183","183","0.1689687579870224","0.16652259230613708","0.1747666448354721"
"753664","184","184","184","0.16893621236085893","0.15774324536323547","0.1763204038143158"
"757760","185","185","185","0.16913377344608307","0.16266924142837524","0.17363885045051575"
"761856","186","186","186","0.16566282510757446","0.15963584184646606","0.1730298101902008"
"765952","187","187","187","0.16947337687015535","0.16364319622516632","0.17490254342556"
"770048","188","188","188","0.163993738591671","0.14794377982616425","0.17442511022090912"
"774144","189","189","189","0.16774192601442336","0.15967576205730438","0.17400339245796204"
"778240","190","190","190","0.16961480230093","0.16514818370342255","0.17497339844703674"
"782336","191","191","191","0.1669919490814209","0.1627446711063385","0.17061157524585724"
"786432","192","192","192","0.17188116908073425","0.16453593969345093","0.17654584348201752"
"790528","193","193","193","0.16779334396123885","0.16079756617546082","0.17246142029762268"
"794624","194","194","194","0.1698012575507164","0.166335329413414","0.17288844287395477"
"798720","195","195","195","0.16656649261713027","0.15708251297473907","0.17173033952713013"
"802816","196","196","196","0.16667029410600662","0.1610819399356842","0.17347227036952972"
"806912","197","197","197","0.16916848719120026","0.16483397781848907","0.1752820461988449"
"811008","198","198","198","0.16436766386032103","0.15825589001178741","0.16780617833137512"
"815104","199","199","199","0.16686880588531494","0.16282866895198822","0.16982713341712952"
"819200","200","200","200","0.16505334675312042","0.15606993436813354","0.1693321019411087"
"823296","201","201","201","0.164702932536602","0.15177814662456512","0.1695227175951004"
"827392","202","202","202","0.16844479739665985","0.16279897093772888","0.1748155802488327"
"831488","203","203","203","0.1673489660024643","0.15840190649032593","0.17573198676109314"
"835584","204","204","204","0.16673202067613602","0.15659183263778687","0.17626400291919708"
"839680","205","205","205","0.1677340343594551","0.15773247182369232","0.17400050163269043"
"843776","206","206","206","0.1662391111254692","0.1545160859823227","0.16985899209976196"
"847872","207","207","207","0.1661366865038872","0.16160428524017334","0.1700683832168579"
"851968","208","208","208","0.16575807332992554","0.15739057958126068","0.17152564227581024"
"856064","209","209","209","0.1661059483885765","0.15698041021823883","0.17145077884197235"
"860160","210","210","210","0.16881412714719773","0.1656048744916916","0.17418189346790314"
"864256","211","211","211","0.1628905192017555","0.15658991038799286","0.169622540473938"
"868352","212","212","212","0.1639411136507988","0.15061865746974945","0.17065191268920898"
"872448","213","213","213","0.1667489305138588","0.16085180640220642","0.17255686223506927"
"876544","214","214","214","0.16114405244588853","0.15547481179237366","0.16496914625167847"
"880640","215","215","215","0.16337596327066423","0.15915918350219727","0.16798977553844452"
"884736","216","216","216","0.16695495843887329","0.16323864459991455","0.17143653333187103"
"888832","217","217","217","0.16494426876306534","0.16151852905750275","0.17012925446033478"
"892928","218","218","218","0.1635195195674896","0.15159377455711365","0.16912344098091125"
"897024","219","219","219","0.1651773914694786","0.15901252627372742","0.17078277468681335"
"901120","220","220","220","0.1649760365486145","0.15839199721813202","0.17163285613059998"
"905216","221","221","221","0.16123550832271577","0.15595372021198273","0.16441096365451813"
"909312","222","222","222","0.16346785873174668","0.1565295308828354","0.17155981063842773"
"913408","223","223","223","0.16464623510837556","0.15748724341392517","0.16815441846847534"
"917504","224","224","224","0.16624175310134887","0.1601848155260086","0.1693720668554306"
"921600","225","225","225","0.16465041786432266","0.16006019711494446","0.17012202739715576"
"925696","226","226","226","0.162030328810215","0.1564483791589737","0.16629520058631897"
"929792","227","227","227","0.16352673172950744","0.15874139964580536","0.16683945059776306"
"933888","228","228","228","0.16273437589406967","0.1556345522403717","0.16901597380638123"
"937984","229","229","229","0.1622514933347702","0.15521803498268127","0.16704058647155762"
"942080","230","230","230","0.16419061422348022","0.16026616096496582","0.1679638922214508"
"946176","231","231","231","0.1655917674303055","0.15925651788711548","0.16919082403182983"
"950272","232","232","232","0.16495592445135115","0.16065514087677002","0.17024236917495728"
"954368","233","233","233","0.1617266744375229","0.1567753106355667","0.16910231113433838"
"958464","234","234","234","0.1632518246769905","0.15964923799037933","0.1665186583995819"
"962560","235","235","235","0.16381198912858963","0.15818919241428375","0.17063955962657928"
"966656","236","236","236","0.15534101277589799","0.1463669091463089","0.16188949346542358"
"970752","237","237","237","0.16174352765083314","0.15522664785385132","0.16837403178215027"
"974848","238","238","238","0.16694745272397996","0.16219201683998108","0.17216818034648895"
"978944","239","239","239","0.15883336514234542","0.15145885944366455","0.16338904201984406"
"983040","240","240","240","0.16504077315330506","0.15960875153541565","0.17039255797863007"
"987136","241","241","241","0.16116221994161606","0.15323010087013245","0.16447065770626068"
"991232","242","242","242","0.1605098217725754","0.15205782651901245","0.16693180799484253"
"995328","243","243","243","0.16421734988689424","0.16117797791957855","0.1668843775987625"
"999424","244","244","244","0.16045669168233873","0.1552601456642151","0.16612325608730316"
"1003520","245","245","245","0.15840855687856675","0.14785289764404297","0.16454899311065674"
"1007616","246","246","246","0.16053753197193146","0.15308500826358795","0.16588574647903442"
"1011712","247","247","247","0.16086594462394715","0.15553003549575806","0.16715891659259796"
"1015808","248","248","248","0.1594131335616112","0.15604490041732788","0.16630691289901733"
