env_step,returned_episode_returns
4096,0
8192,0
12288,0
16384,0
20480,0
24576,0
28672,0
32768,0
36864,0
40960,0
45056,0
49152,0
53248,0
57344,0
61440,0
65536,0
69632,0
73728,0
77824,0
81920,0
86016,0
90112,0
94208,0
98304,0
102400,0
106496,0
110592,0
114688,0
118784,0
122880,0
126976,0
131072,0
135168,0
139264,0
143360,0
147456,0
151552,0
155648,0
159744,0
163840,0
167936,0
172032,0
176128,0
180224,0
184320,0
188416,0
192512,0
196608,0
200704,0
204800,0
208896,0
212992,0
217088,0
221184,0
225280,0
229376,0
233472,0
237568,0
241664,0
245760,0
249856,0
253952,0
258048,0
262144,0
266240,0
270336,0
274432,0
278528,0
282624,0
286720,0
290816,0
294912,0
299008,0
303104,0
307200,0
311296,0
315392,0
319488,0
323584,0.4814453125
327680,0.53125
331776,0.53125
335872,0.53125
339968,0.53125
344064,0.53125
348160,0.53125
352256,0.53125
356352,0.53125
360448,0.53125
364544,0.53125
368640,0.53125
372736,0.53125
376832,0.53125
380928,0.53125
385024,0.53125
389120,0.53125
393216,0.53125
397312,0.53125
401408,0.53125
405504,0.53125
409600,0.53125
413696,0.53125
417792,0.53125
421888,0.53125
425984,0.53125
430080,0.53125
434176,0.53125
438272,0.53125
442368,0.53125
446464,0.53125
450560,0.53125
454656,0.53125
458752,0.53125
462848,0.53125
466944,0.53125
471040,0.53125
475136,0.53125
479232,0.53125
483328,0.53125
487424,0.53125
491520,0.53125
495616,0.53125
499712,0.53125
503808,0.53125
507904,0.53125
512000,0.53125
516096,0.53125
520192,0.53125
524288,0.53125
528384,0.53125
532480,0.53125
536576,0.53125
540672,0.53125
544768,0.53125
548864,0.53125
552960,0.53125
557056,0.53125
561152,0.53125
565248,0.53125
569344,0.53125
573440,0.53125
577536,0.53125
581632,0.53125
585728,0.53125
589824,0.53125
593920,0.53125
598016,0.53125
602112,0.53125
606208,0.53125
610304,0.53125
614400,0.53125
618496,0.53125
622592,0.53125
626688,0.53125
630784,0.53125
634880,0.53125
638976,0.53125
643072,1.0439453125
647168,1.1875
651264,1.1875
655360,1.1875
659456,1.1875
663552,1.1875
667648,1.1875
671744,1.1875
675840,1.1875
679936,1.1875
684032,1.1875
688128,1.1875
692224,1.1875
696320,1.1875
700416,1.1875
704512,1.1875
708608,1.1875
712704,1.1875
716800,1.1875
720896,1.1875
724992,1.1875
729088,1.1875
733184,1.1875
737280,1.1875
741376,1.1875
745472,1.1875
749568,1.1875
753664,1.1875
757760,1.1875
761856,1.1875
765952,1.1875
770048,1.1875
774144,1.1875
778240,1.1875
782336,1.1875
786432,1.1875
790528,1.1875
794624,1.1875
798720,1.1875
802816,1.1875
806912,1.1875
811008,1.1875
815104,1.1875
819200,1.1875
823296,1.1875
827392,1.1875
831488,1.1875
835584,1.1875
839680,1.1875
843776,1.1875
847872,1.1875
851968,1.1875
856064,1.1875
860160,1.1875
864256,1.1875
868352,1.1875
872448,1.1875
876544,1.1875
880640,1.1875
884736,1.1875
888832,1.1875
892928,1.1875
897024,1.1875
901120,1.1875
905216,1.1875
909312,1.1875
913408,1.1875
917504,1.1875
921600,1.1875
925696,1.1875
929792,1.1875
933888,1.1875
937984,1.1875
942080,1.1875
946176,1.1875
950272,1.1875
954368,1.1875
958464,1.1875
962560,1.966796875
966656,2.375
970752,2.375
974848,2.375
978944,2.375
983040,2.375
987136,2.375
991232,2.375
995328,2.375
999424,2.375
1003520,2.375
1007616,2.375
1011712,2.375
1015808,2.375
1019904,2.375
1024000,2.375
1028096,2.375
1032192,2.375
1036288,2.375
1040384,2.375
1044480,2.375
1048576,2.375
1052672,2.375
1056768,2.375
1060864,2.375
1064960,2.375
1069056,2.375
1073152,2.375
1077248,2.375
1081344,2.375
1085440,2.375
1089536,2.375
1093632,2.375
1097728,2.375
1101824,2.375
1105920,2.375
1110016,2.375
1114112,2.375
1118208,2.375
1122304,2.375
1126400,2.375
1130496,2.375
1134592,2.375
1138688,2.375
1142784,2.375
1146880,2.375
1150976,2.375
1155072,2.375
1159168,2.375
1163264,2.375
1167360,2.375
1171456,2.375
1175552,2.375
1179648,2.375
1183744,2.375
1187840,2.375
1191936,2.375
1196032,2.375
1200128,2.375
1204224,2.375
1208320,2.375
1212416,2.375
1216512,2.375
1220608,2.375
1224704,2.375
1228800,2.375
1232896,2.375
1236992,2.375
1241088,2.375
1245184,2.375
1249280,2.375
1253376,2.375
1257472,2.375
1261568,2.375
1265664,2.375
1269760,2.375
1273856,2.375
1277952,2.375
1282048,4.122314453125
1286144,5.6640625
1290240,5.6640625
1294336,5.6640625
1298432,5.6640625
1302528,5.6640625
1306624,5.6640625
1310720,5.6640625
1314816,5.6640625
1318912,5.6640625
1323008,5.6640625
1327104,5.6640625
1331200,5.6640625
1335296,5.6640625
1339392,5.6640625
1343488,5.6640625
1347584,5.6640625
1351680,5.6640625
1355776,5.6640625
1359872,5.6640625
1363968,5.6640625
1368064,5.6640625
1372160,5.6640625
1376256,5.6640625
1380352,5.6640625
1384448,5.6640625
1388544,5.6640625
1392640,5.6640625
1396736,5.6640625
1400832,5.6640625
1404928,5.6640625
1409024,5.6640625
1413120,5.6640625
1417216,5.6640625
1421312,5.6640625
1425408,5.6640625
1429504,5.6640625
1433600,5.6640625
1437696,5.6640625
1441792,5.6640625
1445888,5.6640625
1449984,5.6640625
1454080,5.6640625
1458176,5.6640625
1462272,5.6640625
1466368,5.6640625
1470464,5.6640625
1474560,5.6640625
1478656,5.6640625
1482752,5.6640625
1486848,5.6640625
1490944,5.6640625
1495040,5.6640625
1499136,5.6640625
1503232,5.6640625
1507328,5.6640625
1511424,5.6640625
1515520,5.6640625
1519616,5.6640625
1523712,5.6640625
1527808,5.6640625
1531904,5.6640625
1536000,5.6640625
1540096,5.6640625
1544192,5.6640625
1548288,5.6640625
1552384,5.6640625
1556480,5.6640625
1560576,5.6640625
1564672,5.6640625
1568768,5.6640625
1572864,5.6640625
1576960,5.6640625
1581056,5.6640625
1585152,5.6640625
1589248,5.6640625
1593344,5.6640625
1597440,5.6640625
1601536,7.165283203125
1605632,9.359375
1609728,9.359375
1613824,9.359375
1617920,9.359375
1622016,9.359375
1626112,9.359375
1630208,9.359375
1634304,9.359375
1638400,9.359375
1642496,9.359375
1646592,9.359375
1650688,9.359375
1654784,9.359375
1658880,9.359375
1662976,9.359375
1667072,9.359375
1671168,9.359375
1675264,9.359375
1679360,9.359375
1683456,9.359375
1687552,9.359375
1691648,9.359375
1695744,9.359375
1699840,9.359375
1703936,9.359375
1708032,9.359375
1712128,9.359375
1716224,9.359375
1720320,9.359375
1724416,9.359375
1728512,9.359375
1732608,9.359375
1736704,9.359375
1740800,9.359375
1744896,9.359375
1748992,9.359375
1753088,9.359375
1757184,9.359375
1761280,9.359375
1765376,9.359375
1769472,9.359375
1773568,9.359375
1777664,9.359375
1781760,9.359375
1785856,9.359375
1789952,9.359375
1794048,9.359375
1798144,9.359375
1802240,9.359375
1806336,9.359375
1810432,9.359375
1814528,9.359375
1818624,9.359375
1822720,9.359375
1826816,9.359375
1830912,9.359375
1835008,9.359375
1839104,9.359375
1843200,9.359375
1847296,9.359375
1851392,9.359375
1855488,9.359375
1859584,9.359375
1863680,9.359375
1867776,9.359375
1871872,9.359375
1875968,9.359375
1880064,9.359375
1884160,9.359375
1888256,9.359375
1892352,9.359375
1896448,9.359375
1900544,9.359375
1904640,9.359375
1908736,9.359375
1912832,9.359375
1916928,9.359375
1921024,10.882080078125
1925120,14.7734375
1929216,14.7734375
1933312,14.7734375
1937408,14.7734375
1941504,14.7734375
1945600,14.7734375
1949696,14.7734375
1953792,14.7734375
1957888,14.7734375
1961984,14.7734375
1966080,14.7734375
1970176,14.7734375
1974272,14.7734375
1978368,14.7734375
1982464,14.7734375
1986560,14.7734375
1990656,14.7734375
1994752,14.7734375
1998848,14.7734375
2002944,14.7734375
2007040,14.7734375
2011136,14.7734375
2015232,14.7734375
2019328,14.7734375
2023424,14.7734375
2027520,14.7734375
2031616,14.7734375
2035712,14.7734375
2039808,14.7734375
2043904,14.7734375
2048000,14.7734375
2052096,14.7734375
2056192,14.7734375
2060288,14.7734375
2064384,14.7734375
2068480,14.7734375
2072576,14.7734375
2076672,14.7734375
2080768,14.7734375
2084864,14.7734375
2088960,14.7734375
2093056,14.7734375
2097152,14.7734375
2101248,14.7734375
2105344,14.7734375
2109440,14.7734375
2113536,14.7734375
2117632,14.7734375
2121728,14.7734375
2125824,14.7734375
2129920,14.7734375
2134016,14.7734375
2138112,14.7734375
2142208,14.7734375
2146304,14.7734375
2150400,14.7734375
2154496,14.7734375
2158592,14.7734375
2162688,14.7734375
2166784,14.7734375
2170880,14.7734375
2174976,14.7734375
2179072,14.7734375
2183168,14.7734375
2187264,14.7734375
2191360,14.7734375
2195456,14.7734375
2199552,14.7734375
2203648,14.7734375
2207744,14.7734375
2211840,14.7734375
2215936,14.7734375
2220032,14.7734375
2224128,14.7734375
2228224,14.7734375
2232320,14.7734375
2236416,14.7734375
2240512,16.068603515625
2244608,23.0625
2248704,23.0625
2252800,23.0625
2256896,23.0625
2260992,23.0625
2265088,23.0625
2269184,23.0625
2273280,23.0625
2277376,23.0625
2281472,23.0625
2285568,23.0625
2289664,23.0625
2293760,23.0625
2297856,23.0625
2301952,23.0625
2306048,23.0625
2310144,23.0625
2314240,23.0625
2318336,23.0625
2322432,23.0625
2326528,23.0625
2330624,23.0625
2334720,23.0625
2338816,23.0625
2342912,23.0625
2347008,23.0625
2351104,23.0625
2355200,23.0625
2359296,23.0625
2363392,23.0625
2367488,23.0625
2371584,23.0625
2375680,23.0625
2379776,23.0625
2383872,23.0625
2387968,23.0625
2392064,23.0625
2396160,23.0625
2400256,23.0625
2404352,23.0625
2408448,23.0625
2412544,23.0625
2416640,23.0625
2420736,23.0625
2424832,23.0625
2428928,23.0625
2433024,23.0625
2437120,23.0625
2441216,23.0625
2445312,23.0625
2449408,23.0625
2453504,23.0625
2457600,23.0625
2461696,23.0625
2465792,23.0625
2469888,23.0625
2473984,23.0625
2478080,23.0625
2482176,23.0625
2486272,23.0625
2490368,23.0625
2494464,23.0625
2498560,23.0625
2502656,23.0625
2506752,23.0625
2510848,23.0625
2514944,23.0625
2519040,23.0625
2523136,23.0625
2527232,23.0625
2531328,23.0625
2535424,23.0625
2539520,23.0625
2543616,23.0625
2547712,23.0625
2551808,23.0625
2555904,23.0625
2560000,23.34228515625
2564096,32.015625
2568192,32.015625
2572288,32.015625
2576384,32.015625
2580480,32.015625
2584576,32.015625
2588672,32.015625
2592768,32.015625
2596864,32.015625
2600960,32.015625
2605056,32.015625
2609152,32.015625
2613248,32.015625
2617344,32.015625
2621440,32.015625
2625536,32.015625
2629632,32.015625
2633728,32.015625
2637824,32.015625
2641920,32.015625
2646016,32.015625
2650112,32.015625
2654208,32.015625
2658304,32.015625
2662400,32.015625
2666496,32.015625
2670592,32.015625
2674688,32.015625
2678784,32.015625
2682880,32.015625
2686976,32.015625
2691072,32.015625
2695168,32.015625
2699264,32.015625
2703360,32.015625
2707456,32.015625
2711552,32.015625
2715648,32.015625
2719744,32.015625
2723840,32.015625
2727936,32.015625
2732032,32.015625
2736128,32.015625
2740224,32.015625
2744320,32.015625
2748416,32.015625
2752512,32.015625
2756608,32.015625
2760704,32.015625
2764800,32.015625
2768896,32.015625
2772992,32.015625
2777088,32.015625
2781184,32.015625
2785280,32.015625
2789376,32.015625
2793472,32.015625
2797568,32.015625
2801664,32.015625
2805760,32.015625
2809856,32.015625
2813952,32.015625
2818048,32.015625
2822144,32.015625
2826240,32.015625
2830336,32.015625
2834432,32.015625
2838528,32.015625
2842624,32.015625
2846720,32.015625
2850816,32.015625
2854912,32.015625
2859008,32.015625
2863104,32.015625
2867200,32.015625
2871296,32.015625
2875392,32.015625
2879488,32.015625
2883584,41.240966796875
2887680,42.1953125
2891776,42.1953125
2895872,42.1953125
2899968,42.1953125
2904064,42.1953125
2908160,42.1953125
2912256,42.1953125
2916352,42.1953125
2920448,42.1953125
2924544,42.1953125
2928640,42.1953125
2932736,42.1953125
2936832,42.1953125
2940928,42.1953125
2945024,42.1953125
2949120,42.1953125
2953216,42.1953125
2957312,42.1953125
2961408,42.1953125
2965504,42.1953125
2969600,42.1953125
2973696,42.1953125
2977792,42.1953125
2981888,42.1953125
2985984,42.1953125
2990080,42.1953125
2994176,42.1953125
2998272,42.1953125
3002368,42.1953125
3006464,42.1953125
3010560,42.1953125
3014656,42.1953125
3018752,42.1953125
3022848,42.1953125
3026944,42.1953125
3031040,42.1953125
3035136,42.1953125
3039232,42.1953125
3043328,42.1953125
3047424,42.1953125
3051520,42.1953125
3055616,42.1953125
3059712,42.1953125
3063808,42.1953125
3067904,42.1953125
3072000,42.1953125
3076096,42.1953125
3080192,42.1953125
3084288,42.1953125
3088384,42.1953125
3092480,42.1953125
3096576,42.1953125
3100672,42.1953125
3104768,42.1953125
3108864,42.1953125
3112960,42.1953125
3117056,42.1953125
3121152,42.1953125
3125248,42.1953125
3129344,42.1953125
3133440,42.1953125
3137536,42.1953125
3141632,42.1953125
3145728,42.1953125
3149824,42.1953125
3153920,42.1953125
3158016,42.1953125
3162112,42.1953125
3166208,42.1953125
3170304,42.1953125
3174400,42.1953125
3178496,42.1953125
3182592,42.1953125
3186688,42.1953125
3190784,42.1953125
3194880,42.1953125
3198976,42.1953125
3203072,48.829833984375
3207168,50.6875
3211264,50.6875
3215360,50.6875
3219456,50.6875
3223552,50.6875
3227648,50.6875
3231744,50.6875
3235840,50.6875
3239936,50.6875
3244032,50.6875
3248128,50.6875
3252224,50.6875
3256320,50.6875
3260416,50.6875
3264512,50.6875
3268608,50.6875
3272704,50.6875
3276800,50.6875
3280896,50.6875
3284992,50.6875
3289088,50.6875
3293184,50.6875
3297280,50.6875
3301376,50.6875
3305472,50.6875
3309568,50.6875
3313664,50.6875
3317760,50.6875
3321856,50.6875
3325952,50.6875
3330048,50.6875
3334144,50.6875
3338240,50.6875
3342336,50.6875
3346432,50.6875
3350528,50.6875
3354624,50.6875
3358720,50.6875
3362816,50.6875
3366912,50.6875
3371008,50.6875
3375104,50.6875
3379200,50.6875
3383296,50.6875
3387392,50.6875
3391488,50.6875
3395584,50.6875
3399680,50.6875
3403776,50.6875
3407872,50.6875
3411968,50.6875
3416064,50.6875
3420160,50.6875
3424256,50.6875
3428352,50.6875
3432448,50.6875
3436544,50.6875
3440640,50.6875
3444736,50.6875
3448832,50.6875
3452928,50.6875
3457024,50.6875
3461120,50.6875
3465216,50.6875
3469312,50.6875
3473408,50.6875
3477504,50.6875
3481600,50.6875
3485696,50.6875
3489792,50.6875
3493888,50.6875
3497984,50.6875
3502080,50.6875
3506176,50.6875
3510272,50.6875
3514368,50.6875
3518464,50.6875
3522560,51.810302734375
3526656,52.3984375
3530752,52.3984375
3534848,52.3984375
3538944,52.3984375
3543040,52.3984375
3547136,52.3984375
3551232,52.3984375
3555328,52.3984375
3559424,52.3984375
3563520,52.3984375
3567616,52.3984375
3571712,52.3984375
3575808,52.3984375
3579904,52.3984375
3584000,52.3984375
3588096,52.3984375
3592192,52.3984375
3596288,52.3984375
3600384,52.3984375
3604480,52.3984375
3608576,52.3984375
3612672,52.3984375
3616768,52.3984375
3620864,52.3984375
3624960,52.3984375
3629056,52.3984375
3633152,52.3984375
3637248,52.3984375
3641344,52.3984375
3645440,52.3984375
3649536,52.3984375
3653632,52.3984375
3657728,52.3984375
3661824,52.3984375
3665920,52.3984375
3670016,52.3984375
3674112,52.3984375
3678208,52.3984375
3682304,52.3984375
3686400,52.3984375
3690496,52.3984375
3694592,52.3984375
3698688,52.3984375
3702784,52.3984375
3706880,52.3984375
3710976,52.3984375
3715072,52.3984375
3719168,52.3984375
3723264,52.3984375
3727360,52.3984375
3731456,52.3984375
3735552,52.3984375
3739648,52.3984375
3743744,52.3984375
3747840,52.3984375
3751936,52.3984375
3756032,52.3984375
3760128,52.3984375
3764224,52.3984375
3768320,52.3984375
3772416,52.3984375
3776512,52.3984375
3780608,52.3984375
3784704,52.3984375
3788800,52.3984375
3792896,52.3984375
3796992,52.3984375
3801088,52.3984375
3805184,52.3984375
3809280,52.3984375
3813376,52.3984375
3817472,52.3984375
3821568,52.3984375
3825664,52.3984375
3829760,52.3984375
3833856,52.3984375
3837952,52.3984375
3842048,53.066650390625
3846144,53.65625
3850240,53.65625
3854336,53.65625
3858432,53.65625
3862528,53.65625
3866624,53.65625
3870720,53.65625
3874816,53.65625
3878912,53.65625
3883008,53.65625
3887104,53.65625
3891200,53.65625
3895296,53.65625
3899392,53.65625
3903488,53.65625
3907584,53.65625
3911680,53.65625
3915776,53.65625
3919872,53.65625
3923968,53.65625
3928064,53.65625
