env_step,returned_episode_returns
4096,0
8192,0
12288,0
16384,0
20480,0
24576,0
28672,0
32768,0
36864,0
40960,0
45056,0
49152,0
53248,0
57344,0
61440,0
65536,0
69632,0
73728,0
77824,0
81920,0
86016,0
90112,0
94208,0
98304,0
102400,0
106496,0
110592,0
114688,0
118784,0
122880,0
126976,0
131072,0
135168,0
139264,0
143360,0
147456,0
151552,0
155648,0
159744,0
163840,0
167936,0
172032,0
176128,0
180224,0
184320,0
188416,0
192512,0
196608,0
200704,0
204800,0
208896,0
212992,0
217088,0
221184,0
225280,0
229376,0
233472,0
237568,0
241664,0
245760,0
249856,0
253952,0
258048,0
262144,0
266240,0
270336,0
274432,0
278528,0
282624,0
286720,0
290816,0
294912,0
299008,0
303104,0
307200,0
311296,0
315392,0
319488,0
323584,0.5380859375
327680,0.59375
331776,0.59375
335872,0.59375
339968,0.59375
344064,0.59375
348160,0.59375
352256,0.59375
356352,0.59375
360448,0.59375
364544,0.59375
368640,0.59375
372736,0.59375
376832,0.59375
380928,0.59375
385024,0.59375
389120,0.59375
393216,0.59375
397312,0.59375
401408,0.59375
405504,0.59375
409600,0.59375
413696,0.59375
417792,0.59375
421888,0.59375
425984,0.59375
430080,0.59375
434176,0.59375
438272,0.59375
442368,0.59375
446464,0.59375
450560,0.59375
454656,0.59375
458752,0.59375
462848,0.59375
466944,0.59375
471040,0.59375
475136,0.59375
479232,0.59375
483328,0.59375
487424,0.59375
491520,0.59375
495616,0.59375
499712,0.59375
503808,0.59375
507904,0.59375
512000,0.59375
516096,0.59375
520192,0.59375
524288,0.59375
528384,0.59375
532480,0.59375
536576,0.59375
540672,0.59375
544768,0.59375
548864,0.59375
552960,0.59375
557056,0.59375
561152,0.59375
565248,0.59375
569344,0.59375
573440,0.59375
577536,0.59375
581632,0.59375
585728,0.59375
589824,0.59375
593920,0.59375
598016,0.59375
602112,0.59375
606208,0.59375
610304,0.59375
614400,0.59375
618496,0.59375
622592,0.59375
626688,0.59375
630784,0.59375
634880,0.59375
638976,0.59375
643072,1.1796875
647168,1.34375
651264,1.34375
655360,1.34375
659456,1.34375
663552,1.34375
667648,1.34375
671744,1.34375
675840,1.34375
679936,1.34375
684032,1.34375
688128,1.34375
692224,1.34375
696320,1.34375
700416,1.34375
704512,1.34375
708608,1.34375
712704,1.34375
716800,1.34375
720896,1.34375
724992,1.34375
729088,1.34375
733184,1.34375
737280,1.34375
741376,1.34375
745472,1.34375
749568,1.34375
753664,1.34375
757760,1.34375
761856,1.34375
765952,1.34375
770048,1.34375
774144,1.34375
778240,1.34375
782336,1.34375
786432,1.34375
790528,1.34375
794624,1.34375
798720,1.34375
802816,1.34375
806912,1.34375
811008,1.34375
815104,1.34375
819200,1.34375
823296,1.34375
827392,1.34375
831488,1.34375
835584,1.34375
839680,1.34375
843776,1.34375
847872,1.34375
851968,1.34375
856064,1.34375
860160,1.34375
864256,1.34375
868352,1.34375
872448,1.34375
876544,1.34375
880640,1.34375
884736,1.34375
888832,1.34375
892928,1.34375
897024,1.34375
901120,1.34375
905216,1.34375
909312,1.34375
913408,1.34375
917504,1.34375
921600,1.34375
925696,1.34375
929792,1.34375
933888,1.34375
937984,1.34375
942080,1.34375
946176,1.34375
950272,1.34375
954368,1.34375
958464,1.34375
962560,2.097412109375
966656,2.4921875
970752,2.4921875
974848,2.4921875
978944,2.4921875
983040,2.4921875
987136,2.4921875
991232,2.4921875
995328,2.4921875
999424,2.4921875
1003520,2.4921875
1007616,2.4921875
1011712,2.4921875
1015808,2.4921875
1019904,2.4921875
1024000,2.4921875
1028096,2.4921875
1032192,2.4921875
1036288,2.4921875
1040384,2.4921875
1044480,2.4921875
1048576,2.4921875
1052672,2.4921875
1056768,2.4921875
1060864,2.4921875
1064960,2.4921875
1069056,2.4921875
1073152,2.4921875
1077248,2.4921875
1081344,2.4921875
1085440,2.4921875
1089536,2.4921875
1093632,2.4921875
1097728,2.4921875
1101824,2.4921875
1105920,2.4921875
1110016,2.4921875
1114112,2.4921875
1118208,2.4921875
1122304,2.4921875
1126400,2.4921875
1130496,2.4921875
1134592,2.4921875
1138688,2.4921875
1142784,2.4921875
1146880,2.4921875
1150976,2.4921875
1155072,2.4921875
1159168,2.4921875
1163264,2.4921875
1167360,2.4921875
1171456,2.4921875
1175552,2.4921875
1179648,2.4921875
1183744,2.4921875
1187840,2.4921875
1191936,2.4921875
1196032,2.4921875
1200128,2.4921875
1204224,2.4921875
1208320,2.4921875
1212416,2.4921875
1216512,2.4921875
1220608,2.4921875
1224704,2.4921875
1228800,2.4921875
1232896,2.4921875
1236992,2.4921875
1241088,2.4921875
1245184,2.4921875
1249280,2.4921875
1253376,2.4921875
1257472,2.4921875
1261568,2.4921875
1265664,2.4921875
1269760,2.4921875
1273856,2.4921875
1277952,2.4921875
1282048,3.84521484375
1286144,5.0390625
1290240,5.0390625
1294336,5.0390625
1298432,5.0390625
1302528,5.0390625
1306624,5.0390625
1310720,5.0390625
1314816,5.0390625
1318912,5.0390625
1323008,5.0390625
1327104,5.0390625
1331200,5.0390625
1335296,5.0390625
1339392,5.0390625
1343488,5.0390625
1347584,5.0390625
1351680,5.0390625
1355776,5.0390625
1359872,5.0390625
1363968,5.0390625
1368064,5.0390625
1372160,5.0390625
1376256,5.0390625
1380352,5.0390625
1384448,5.0390625
1388544,5.0390625
1392640,5.0390625
1396736,5.0390625
1400832,5.0390625
1404928,5.0390625
1409024,5.0390625
1413120,5.0390625
1417216,5.0390625
1421312,5.0390625
1425408,5.0390625
1429504,5.0390625
1433600,5.0390625
1437696,5.0390625
1441792,5.0390625
1445888,5.0390625
1449984,5.0390625
1454080,5.0390625
1458176,5.0390625
1462272,5.0390625
1466368,5.0390625
1470464,5.0390625
1474560,5.0390625
1478656,5.0390625
1482752,5.0390625
1486848,5.0390625
1490944,5.0390625
1495040,5.0390625
1499136,5.0390625
1503232,5.0390625
1507328,5.0390625
1511424,5.0390625
1515520,5.0390625
1519616,5.0390625
1523712,5.0390625
1527808,5.0390625
1531904,5.0390625
1536000,5.0390625
1540096,5.0390625
1544192,5.0390625
1548288,5.0390625
1552384,5.0390625
1556480,5.0390625
1560576,5.0390625
1564672,5.0390625
1568768,5.0390625
1572864,5.0390625
1576960,5.0390625
1581056,5.0390625
1585152,5.0390625
1589248,5.0390625
1593344,5.0390625
1597440,5.0390625
1601536,6.841796875
1605632,9.4765625
1609728,9.4765625
1613824,9.4765625
1617920,9.4765625
1622016,9.4765625
1626112,9.4765625
1630208,9.4765625
1634304,9.4765625
1638400,9.4765625
1642496,9.4765625
1646592,9.4765625
1650688,9.4765625
1654784,9.4765625
1658880,9.4765625
1662976,9.4765625
1667072,9.4765625
1671168,9.4765625
1675264,9.4765625
1679360,9.4765625
1683456,9.4765625
1687552,9.4765625
1691648,9.4765625
1695744,9.4765625
1699840,9.4765625
1703936,9.4765625
1708032,9.4765625
1712128,9.4765625
1716224,9.4765625
1720320,9.4765625
1724416,9.4765625
1728512,9.4765625
1732608,9.4765625
1736704,9.4765625
1740800,9.4765625
1744896,9.4765625
1748992,9.4765625
1753088,9.4765625
1757184,9.4765625
1761280,9.4765625
1765376,9.4765625
1769472,9.4765625
1773568,9.4765625
1777664,9.4765625
1781760,9.4765625
1785856,9.4765625
1789952,9.4765625
1794048,9.4765625
1798144,9.4765625
1802240,9.4765625
1806336,9.4765625
1810432,9.4765625
1814528,9.4765625
1818624,9.4765625
1822720,9.4765625
1826816,9.4765625
1830912,9.4765625
1835008,9.4765625
1839104,9.4765625
1843200,9.4765625
1847296,9.4765625
1851392,9.4765625
1855488,9.4765625
1859584,9.4765625
1863680,9.4765625
1867776,9.4765625
1871872,9.4765625
1875968,9.4765625
1880064,9.4765625
1884160,9.4765625
1888256,9.4765625
1892352,9.4765625
1896448,9.4765625
1900544,9.4765625
1904640,9.4765625
1908736,9.4765625
1912832,9.4765625
1916928,9.4765625
1921024,11.22998046875
1925120,15.7109375
1929216,15.7109375
1933312,15.7109375
1937408,15.7109375
1941504,15.7109375
1945600,15.7109375
1949696,15.7109375
1953792,15.7109375
1957888,15.7109375
1961984,15.7109375
1966080,15.7109375
1970176,15.7109375
1974272,15.7109375
1978368,15.7109375
1982464,15.7109375
1986560,15.7109375
1990656,15.7109375
1994752,15.7109375
1998848,15.7109375
2002944,15.7109375
2007040,15.7109375
2011136,15.7109375
2015232,15.7109375
2019328,15.7109375
2023424,15.7109375
2027520,15.7109375
2031616,15.7109375
2035712,15.7109375
2039808,15.7109375
2043904,15.7109375
2048000,15.7109375
2052096,15.7109375
2056192,15.7109375
2060288,15.7109375
2064384,15.7109375
2068480,15.7109375
2072576,15.7109375
2076672,15.7109375
2080768,15.7109375
2084864,15.7109375
2088960,15.7109375
2093056,15.7109375
2097152,15.7109375
2101248,15.7109375
2105344,15.7109375
2109440,15.7109375
2113536,15.7109375
2117632,15.7109375
2121728,15.7109375
2125824,15.7109375
2129920,15.7109375
2134016,15.7109375
2138112,15.7109375
2142208,15.7109375
2146304,15.7109375
2150400,15.7109375
2154496,15.7109375
2158592,15.7109375
2162688,15.7109375
2166784,15.7109375
2170880,15.7109375
2174976,15.7109375
2179072,15.7109375
2183168,15.7109375
2187264,15.7109375
2191360,15.7109375
2195456,15.7109375
2199552,15.7109375
2203648,15.7109375
2207744,15.7109375
2211840,15.7109375
2215936,15.7109375
2220032,15.7109375
2224128,15.7109375
2228224,15.7109375
2232320,15.7109375
2236416,15.7109375
2240512,17.02197265625
2244608,24.1015625
2248704,24.1015625
2252800,24.1015625
2256896,24.1015625
2260992,24.1015625
2265088,24.1015625
2269184,24.1015625
2273280,24.1015625
2277376,24.1015625
2281472,24.1015625
2285568,24.1015625
2289664,24.1015625
2293760,24.1015625
2297856,24.1015625
2301952,24.1015625
2306048,24.1015625
2310144,24.1015625
2314240,24.1015625
2318336,24.1015625
2322432,24.1015625
2326528,24.1015625
2330624,24.1015625
2334720,24.1015625
2338816,24.1015625
2342912,24.1015625
2347008,24.1015625
2351104,24.1015625
2355200,24.1015625
2359296,24.1015625
2363392,24.1015625
2367488,24.1015625
2371584,24.1015625
2375680,24.1015625
2379776,24.1015625
2383872,24.1015625
2387968,24.1015625
2392064,24.1015625
2396160,24.1015625
2400256,24.1015625
2404352,24.1015625
2408448,24.1015625
2412544,24.1015625
2416640,24.1015625
2420736,24.1015625
2424832,24.1015625
2428928,24.1015625
2433024,24.1015625
2437120,24.1015625
2441216,24.1015625
2445312,24.1015625
2449408,24.1015625
2453504,24.1015625
2457600,24.1015625
2461696,24.1015625
2465792,24.1015625
2469888,24.1015625
2473984,24.1015625
2478080,24.1015625
2482176,24.1015625
2486272,24.1015625
2490368,24.1015625
2494464,24.1015625
2498560,24.1015625
2502656,24.1015625
2506752,24.1015625
2510848,24.1015625
2514944,24.1015625
2519040,24.1015625
2523136,24.1015625
2527232,24.1015625
2531328,24.1015625
2535424,24.1015625
2539520,24.1015625
2543616,24.1015625
2547712,24.1015625
2551808,24.1015625
2555904,24.1015625
2560000,24.352783203125
2564096,32.140625
2568192,32.140625
2572288,32.140625
2576384,32.140625
2580480,32.140625
2584576,32.140625
2588672,32.140625
2592768,32.140625
2596864,32.140625
2600960,32.140625
2605056,32.140625
2609152,32.140625
2613248,32.140625
2617344,32.140625
2621440,32.140625
2625536,32.140625
2629632,32.140625
2633728,32.140625
2637824,32.140625
2641920,32.140625
2646016,32.140625
2650112,32.140625
2654208,32.140625
2658304,32.140625
2662400,32.140625
2666496,32.140625
2670592,32.140625
2674688,32.140625
2678784,32.140625
2682880,32.140625
2686976,32.140625
2691072,32.140625
2695168,32.140625
2699264,32.140625
2703360,32.140625
2707456,32.140625
2711552,32.140625
2715648,32.140625
2719744,32.140625
2723840,32.140625
2727936,32.140625
2732032,32.140625
2736128,32.140625
2740224,32.140625
2744320,32.140625
2748416,32.140625
2752512,32.140625
2756608,32.140625
2760704,32.140625
2764800,32.140625
2768896,32.140625
2772992,32.140625
2777088,32.140625
2781184,32.140625
2785280,32.140625
2789376,32.140625
2793472,32.140625
2797568,32.140625
2801664,32.140625
2805760,32.140625
2809856,32.140625
2813952,32.140625
2818048,32.140625
2822144,32.140625
2826240,32.140625
2830336,32.140625
2834432,32.140625
2838528,32.140625
2842624,32.140625
2846720,32.140625
2850816,32.140625
2854912,32.140625
2859008,32.140625
2863104,32.140625
2867200,32.140625
2871296,32.140625
2875392,32.140625
2879488,32.140625
2883584,41.564208984375
2887680,42.5390625
2891776,42.5390625
2895872,42.5390625
2899968,42.5390625
2904064,42.5390625
2908160,42.5390625
2912256,42.5390625
2916352,42.5390625
2920448,42.5390625
2924544,42.5390625
2928640,42.5390625
2932736,42.5390625
2936832,42.5390625
2940928,42.5390625
2945024,42.5390625
2949120,42.5390625
2953216,42.5390625
2957312,42.5390625
2961408,42.5390625
2965504,42.5390625
2969600,42.5390625
2973696,42.5390625
2977792,42.5390625
2981888,42.5390625
2985984,42.5390625
2990080,42.5390625
2994176,42.5390625
2998272,42.5390625
3002368,42.5390625
3006464,42.5390625
3010560,42.5390625
3014656,42.5390625
3018752,42.5390625
3022848,42.5390625
3026944,42.5390625
3031040,42.5390625
3035136,42.5390625
3039232,42.5390625
3043328,42.5390625
3047424,42.5390625
3051520,42.5390625
3055616,42.5390625
3059712,42.5390625
3063808,42.5390625
3067904,42.5390625
3072000,42.5390625
3076096,42.5390625
3080192,42.5390625
3084288,42.5390625
3088384,42.5390625
3092480,42.5390625
3096576,42.5390625
3100672,42.5390625
3104768,42.5390625
3108864,42.5390625
3112960,42.5390625
3117056,42.5390625
3121152,42.5390625
3125248,42.5390625
3129344,42.5390625
3133440,42.5390625
3137536,42.5390625
3141632,42.5390625
3145728,42.5390625
3149824,42.5390625
3153920,42.5390625
3158016,42.5390625
3162112,42.5390625
3166208,42.5390625
3170304,42.5390625
3174400,42.5390625
3178496,42.5390625
3182592,42.5390625
3186688,42.5390625
3190784,42.5390625
3194880,42.5390625
3198976,42.5390625
3203072,49.716796875
3207168,51.7265625
3211264,51.7265625
3215360,51.7265625
3219456,51.7265625
3223552,51.7265625
3227648,51.7265625
3231744,51.7265625
3235840,51.7265625
3239936,51.7265625
3244032,51.7265625
3248128,51.7265625
3252224,51.7265625
3256320,51.7265625
3260416,51.7265625
3264512,51.7265625
3268608,51.7265625
3272704,51.7265625
3276800,51.7265625
3280896,51.7265625
3284992,51.7265625
3289088,51.7265625
3293184,51.7265625
3297280,51.7265625
3301376,51.7265625
3305472,51.7265625
3309568,51.7265625
3313664,51.7265625
3317760,51.7265625
3321856,51.7265625
3325952,51.7265625
3330048,51.7265625
3334144,51.7265625
3338240,51.7265625
3342336,51.7265625
3346432,51.7265625
3350528,51.7265625
3354624,51.7265625
3358720,51.7265625
3362816,51.7265625
3366912,51.7265625
3371008,51.7265625
3375104,51.7265625
3379200,51.7265625
3383296,51.7265625
3387392,51.7265625
3391488,51.7265625
3395584,51.7265625
3399680,51.7265625
3403776,51.7265625
3407872,51.7265625
3411968,51.7265625
3416064,51.7265625
3420160,51.7265625
3424256,51.7265625
3428352,51.7265625
3432448,51.7265625
3436544,51.7265625
3440640,51.7265625
3444736,51.7265625
3448832,51.7265625
3452928,51.7265625
3457024,51.7265625
3461120,51.7265625
3465216,51.7265625
3469312,51.7265625
3473408,51.7265625
3477504,51.7265625
3481600,51.7265625
3485696,51.7265625
3489792,51.7265625
3493888,51.7265625
3497984,51.7265625
3502080,51.7265625
3506176,51.7265625
3510272,51.7265625
3514368,51.7265625
3518464,51.7265625
3522560,50.79345703125
3526656,50.3046875
3530752,50.3046875
3534848,50.3046875
3538944,50.3046875
3543040,50.3046875
3547136,50.3046875
3551232,50.3046875
3555328,50.3046875
3559424,50.3046875
3563520,50.3046875
3567616,50.3046875
3571712,50.3046875
3575808,50.3046875
3579904,50.3046875
3584000,50.3046875
3588096,50.3046875
3592192,50.3046875
3596288,50.3046875
3600384,50.3046875
3604480,50.3046875
3608576,50.3046875
3612672,50.3046875
3616768,50.3046875
3620864,50.3046875
3624960,50.3046875
3629056,50.3046875
3633152,50.3046875
3637248,50.3046875
3641344,50.3046875
3645440,50.3046875
3649536,50.3046875
3653632,50.3046875
3657728,50.3046875
3661824,50.3046875
3665920,50.3046875
3670016,50.3046875
3674112,50.3046875
3678208,50.3046875
3682304,50.3046875
3686400,50.3046875
3690496,50.3046875
3694592,50.3046875
3698688,50.3046875
3702784,50.3046875
3706880,50.3046875
3710976,50.3046875
3715072,50.3046875
3719168,50.3046875
3723264,50.3046875
3727360,50.3046875
3731456,50.3046875
3735552,50.3046875
3739648,50.3046875
3743744,50.3046875
3747840,50.3046875
3751936,50.3046875
3756032,50.3046875
3760128,50.3046875
