env_step,returned_episode_returns
4096,0
8192,0
12288,0
16384,0
20480,0
24576,0
28672,0
32768,0
36864,0
40960,0
45056,0
49152,0
53248,0
57344,0
61440,0
65536,0
69632,0
73728,0
77824,0
81920,0
86016,0
90112,0
94208,0
98304,0
102400,0
106496,0
110592,0
114688,0
118784,0
122880,0
126976,0
131072,0
135168,0
139264,0
143360,0
147456,0
151552,0
155648,0
159744,0
163840,0
167936,0
172032,0
176128,0
180224,0
184320,0
188416,0
192512,0
196608,0
200704,0
204800,0
208896,0
212992,0
217088,0
221184,0
225280,0
229376,0
233472,0
237568,0
241664,0
245760,0
249856,0
253952,0
258048,0
262144,0
266240,0
270336,0
274432,0
278528,0
282624,0
286720,0
290816,0
294912,0
299008,0
303104,0
307200,0
311296,0
315392,0
319488,0
323584,0.573486328125
327680,0.6328125
331776,0.6328125
335872,0.6328125
339968,0.6328125
344064,0.6328125
348160,0.6328125
352256,0.6328125
356352,0.6328125
360448,0.6328125
364544,0.6328125
368640,0.6328125
372736,0.6328125
376832,0.6328125
380928,0.6328125
385024,0.6328125
389120,0.6328125
393216,0.6328125
397312,0.6328125
401408,0.6328125
405504,0.6328125
409600,0.6328125
413696,0.6328125
417792,0.6328125
421888,0.6328125
425984,0.6328125
430080,0.6328125
434176,0.6328125
438272,0.6328125
442368,0.6328125
446464,0.6328125
450560,0.6328125
454656,0.6328125
458752,0.6328125
462848,0.6328125
466944,0.6328125
471040,0.6328125
475136,0.6328125
479232,0.6328125
483328,0.6328125
487424,0.6328125
491520,0.6328125
495616,0.6328125
499712,0.6328125
503808,0.6328125
507904,0.6328125
512000,0.6328125
516096,0.6328125
520192,0.6328125
524288,0.6328125
528384,0.6328125
532480,0.6328125
536576,0.6328125
540672,0.6328125
544768,0.6328125
548864,0.6328125
552960,0.6328125
557056,0.6328125
561152,0.6328125
565248,0.6328125
569344,0.6328125
573440,0.6328125
577536,0.6328125
581632,0.6328125
585728,0.6328125
589824,0.6328125
593920,0.6328125
598016,0.6328125
602112,0.6328125
606208,0.6328125
610304,0.6328125
614400,0.6328125
618496,0.6328125
622592,0.6328125
626688,0.6328125
630784,0.6328125
634880,0.6328125
638976,0.6328125
643072,1.151611328125
647168,1.296875
651264,1.296875
655360,1.296875
659456,1.296875
663552,1.296875
667648,1.296875
671744,1.296875
675840,1.296875
679936,1.296875
684032,1.296875
688128,1.296875
692224,1.296875
696320,1.296875
700416,1.296875
704512,1.296875
708608,1.296875
712704,1.296875
716800,1.296875
720896,1.296875
724992,1.296875
729088,1.296875
733184,1.296875
737280,1.296875
741376,1.296875
745472,1.296875
749568,1.296875
753664,1.296875
757760,1.296875
761856,1.296875
765952,1.296875
770048,1.296875
774144,1.296875
778240,1.296875
782336,1.296875
786432,1.296875
790528,1.296875
794624,1.296875
798720,1.296875
802816,1.296875
806912,1.296875
811008,1.296875
815104,1.296875
819200,1.296875
823296,1.296875
827392,1.296875
831488,1.296875
835584,1.296875
839680,1.296875
843776,1.296875
847872,1.296875
851968,1.296875
856064,1.296875
860160,1.296875
864256,1.296875
868352,1.296875
872448,1.296875
876544,1.296875
880640,1.296875
884736,1.296875
888832,1.296875
892928,1.296875
897024,1.296875
901120,1.296875
905216,1.296875
909312,1.296875
913408,1.296875
917504,1.296875
921600,1.296875
925696,1.296875
929792,1.296875
933888,1.296875
937984,1.296875
942080,1.296875
946176,1.296875
950272,1.296875
954368,1.296875
958464,1.296875
962560,1.92236328125
966656,2.25
970752,2.25
974848,2.25
978944,2.25
983040,2.25
987136,2.25
991232,2.25
995328,2.25
999424,2.25
1003520,2.25
1007616,2.25
1011712,2.25
1015808,2.25
1019904,2.25
1024000,2.25
1028096,2.25
1032192,2.25
1036288,2.25
1040384,2.25
1044480,2.25
1048576,2.25
1052672,2.25
1056768,2.25
1060864,2.25
1064960,2.25
1069056,2.25
1073152,2.25
1077248,2.25
1081344,2.25
1085440,2.25
1089536,2.25
1093632,2.25
1097728,2.25
1101824,2.25
1105920,2.25
1110016,2.25
1114112,2.25
1118208,2.25
1122304,2.25
1126400,2.25
1130496,2.25
1134592,2.25
1138688,2.25
1142784,2.25
1146880,2.25
1150976,2.25
1155072,2.25
1159168,2.25
1163264,2.25
1167360,2.25
1171456,2.25
1175552,2.25
1179648,2.25
1183744,2.25
1187840,2.25
1191936,2.25
1196032,2.25
1200128,2.25
1204224,2.25
1208320,2.25
1212416,2.25
1216512,2.25
1220608,2.25
1224704,2.25
1228800,2.25
1232896,2.25
1236992,2.25
1241088,2.25
1245184,2.25
1249280,2.25
1253376,2.25
1257472,2.25
1261568,2.25
1265664,2.25
1269760,2.25
1273856,2.25
1277952,2.25
1282048,3.9765625
1286144,5.5
1290240,5.5
1294336,5.5
1298432,5.5
1302528,5.5
1306624,5.5
1310720,5.5
1314816,5.5
1318912,5.5
1323008,5.5
1327104,5.5
1331200,5.5
1335296,5.5
1339392,5.5
1343488,5.5
1347584,5.5
1351680,5.5
1355776,5.5
1359872,5.5
1363968,5.5
1368064,5.5
1372160,5.5
1376256,5.5
1380352,5.5
1384448,5.5
1388544,5.5
1392640,5.5
1396736,5.5
1400832,5.5
1404928,5.5
1409024,5.5
1413120,5.5
1417216,5.5
1421312,5.5
1425408,5.5
1429504,5.5
1433600,5.5
1437696,5.5
1441792,5.5
1445888,5.5
1449984,5.5
1454080,5.5
1458176,5.5
1462272,5.5
1466368,5.5
1470464,5.5
1474560,5.5
1478656,5.5
1482752,5.5
1486848,5.5
1490944,5.5
1495040,5.5
1499136,5.5
1503232,5.5
1507328,5.5
1511424,5.5
1515520,5.5
1519616,5.5
1523712,5.5
1527808,5.5
1531904,5.5
1536000,5.5
1540096,5.5
1544192,5.5
1548288,5.5
1552384,5.5
1556480,5.5
1560576,5.5
1564672,5.5
1568768,5.5
1572864,5.5
1576960,5.5
1581056,5.5
1585152,5.5
1589248,5.5
1593344,5.5
1597440,5.5
1601536,7.01708984375
1605632,9.234375
1609728,9.234375
1613824,9.234375
1617920,9.234375
1622016,9.234375
1626112,9.234375
1630208,9.234375
1634304,9.234375
1638400,9.234375
1642496,9.234375
1646592,9.234375
1650688,9.234375
1654784,9.234375
1658880,9.234375
1662976,9.234375
1667072,9.234375
1671168,9.234375
1675264,9.234375
1679360,9.234375
1683456,9.234375
1687552,9.234375
1691648,9.234375
1695744,9.234375
1699840,9.234375
1703936,9.234375
1708032,9.234375
1712128,9.234375
1716224,9.234375
1720320,9.234375
1724416,9.234375
1728512,9.234375
1732608,9.234375
1736704,9.234375
1740800,9.234375
1744896,9.234375
1748992,9.234375
1753088,9.234375
1757184,9.234375
1761280,9.234375
1765376,9.234375
1769472,9.234375
1773568,9.234375
1777664,9.234375
1781760,9.234375
1785856,9.234375
1789952,9.234375
1794048,9.234375
1798144,9.234375
1802240,9.234375
1806336,9.234375
1810432,9.234375
1814528,9.234375
1818624,9.234375
1822720,9.234375
1826816,9.234375
1830912,9.234375
1835008,9.234375
1839104,9.234375
1843200,9.234375
1847296,9.234375
1851392,9.234375
1855488,9.234375
1859584,9.234375
1863680,9.234375
1867776,9.234375
1871872,9.234375
1875968,9.234375
1880064,9.234375
1884160,9.234375
1888256,9.234375
1892352,9.234375
1896448,9.234375
1900544,9.234375
1904640,9.234375
1908736,9.234375
1912832,9.234375
1916928,9.234375
1921024,10.95263671875
1925120,15.34375
1929216,15.34375
1933312,15.34375
1937408,15.34375
1941504,15.34375
1945600,15.34375
1949696,15.34375
1953792,15.34375
1957888,15.34375
1961984,15.34375
1966080,15.34375
1970176,15.34375
1974272,15.34375
1978368,15.34375
1982464,15.34375
1986560,15.34375
1990656,15.34375
1994752,15.34375
1998848,15.34375
2002944,15.34375
2007040,15.34375
2011136,15.34375
2015232,15.34375
2019328,15.34375
2023424,15.34375
2027520,15.34375
2031616,15.34375
2035712,15.34375
2039808,15.34375
2043904,15.34375
2048000,15.34375
2052096,15.34375
2056192,15.34375
2060288,15.34375
2064384,15.34375
2068480,15.34375
2072576,15.34375
2076672,15.34375
2080768,15.34375
2084864,15.34375
2088960,15.34375
2093056,15.34375
2097152,15.34375
2101248,15.34375
2105344,15.34375
2109440,15.34375
2113536,15.34375
2117632,15.34375
2121728,15.34375
2125824,15.34375
2129920,15.34375
2134016,15.34375
2138112,15.34375
2142208,15.34375
2146304,15.34375
2150400,15.34375
2154496,15.34375
2158592,15.34375
2162688,15.34375
2166784,15.34375
2170880,15.34375
2174976,15.34375
2179072,15.34375
2183168,15.34375
2187264,15.34375
2191360,15.34375
2195456,15.34375
2199552,15.34375
2203648,15.34375
2207744,15.34375
2211840,15.34375
2215936,15.34375
2220032,15.34375
2224128,15.34375
2228224,15.34375
2232320,15.34375
2236416,15.34375
2240512,16.720703125
2244608,24.15625
2248704,24.15625
2252800,24.15625
2256896,24.15625
2260992,24.15625
2265088,24.15625
2269184,24.15625
2273280,24.15625
2277376,24.15625
2281472,24.15625
2285568,24.15625
2289664,24.15625
2293760,24.15625
2297856,24.15625
2301952,24.15625
2306048,24.15625
2310144,24.15625
2314240,24.15625
2318336,24.15625
2322432,24.15625
2326528,24.15625
2330624,24.15625
2334720,24.15625
2338816,24.15625
2342912,24.15625
2347008,24.15625
2351104,24.15625
2355200,24.15625
2359296,24.15625
2363392,24.15625
2367488,24.15625
2371584,24.15625
2375680,24.15625
2379776,24.15625
2383872,24.15625
2387968,24.15625
2392064,24.15625
2396160,24.15625
2400256,24.15625
2404352,24.15625
2408448,24.15625
2412544,24.15625
2416640,24.15625
2420736,24.15625
2424832,24.15625
2428928,24.15625
2433024,24.15625
2437120,24.15625
2441216,24.15625
2445312,24.15625
2449408,24.15625
2453504,24.15625
2457600,24.15625
2461696,24.15625
2465792,24.15625
2469888,24.15625
2473984,24.15625
2478080,24.15625
2482176,24.15625
2486272,24.15625
2490368,24.15625
2494464,24.15625
2498560,24.15625
2502656,24.15625
2506752,24.15625
2510848,24.15625
2514944,24.15625
2519040,24.15625
2523136,24.15625
2527232,24.15625
2531328,24.15625
2535424,24.15625
2539520,24.15625
2543616,24.15625
2547712,24.15625
2551808,24.15625
2555904,24.15625
2560000,24.3994140625
2564096,31.9375
2568192,31.9375
2572288,31.9375
2576384,31.9375
2580480,31.9375
2584576,31.9375
2588672,31.9375
2592768,31.9375
2596864,31.9375
2600960,31.9375
2605056,31.9375
2609152,31.9375
2613248,31.9375
2617344,31.9375
2621440,31.9375
2625536,31.9375
2629632,31.9375
2633728,31.9375
2637824,31.9375
2641920,31.9375
2646016,31.9375
2650112,31.9375
2654208,31.9375
2658304,31.9375
2662400,31.9375
2666496,31.9375
2670592,31.9375
2674688,31.9375
2678784,31.9375
2682880,31.9375
2686976,31.9375
2691072,31.9375
2695168,31.9375
2699264,31.9375
2703360,31.9375
2707456,31.9375
2711552,31.9375
2715648,31.9375
2719744,31.9375
2723840,31.9375
2727936,31.9375
2732032,31.9375
2736128,31.9375
2740224,31.9375
2744320,31.9375
2748416,31.9375
2752512,31.9375
2756608,31.9375
2760704,31.9375
2764800,31.9375
2768896,31.9375
2772992,31.9375
2777088,31.9375
2781184,31.9375
2785280,31.9375
2789376,31.9375
2793472,31.9375
2797568,31.9375
2801664,31.9375
2805760,31.9375
2809856,31.9375
2813952,31.9375
2818048,31.9375
2822144,31.9375
2826240,31.9375
2830336,31.9375
2834432,31.9375
2838528,31.9375
2842624,31.9375
2846720,31.9375
2850816,31.9375
2854912,31.9375
2859008,31.9375
2863104,31.9375
2867200,31.9375
2871296,31.9375
2875392,31.9375
2879488,31.9375
2883584,41.24072265625
2887680,42.203125
2891776,42.203125
2895872,42.203125
2899968,42.203125
2904064,42.203125
2908160,42.203125
2912256,42.203125
2916352,42.203125
2920448,42.203125
2924544,42.203125
2928640,42.203125
2932736,42.203125
2936832,42.203125
2940928,42.203125
2945024,42.203125
2949120,42.203125
2953216,42.203125
2957312,42.203125
2961408,42.203125
2965504,42.203125
2969600,42.203125
2973696,42.203125
2977792,42.203125
2981888,42.203125
2985984,42.203125
2990080,42.203125
2994176,42.203125
2998272,42.203125
3002368,42.203125
3006464,42.203125
3010560,42.203125
3014656,42.203125
3018752,42.203125
3022848,42.203125
3026944,42.203125
3031040,42.203125
3035136,42.203125
3039232,42.203125
3043328,42.203125
3047424,42.203125
3051520,42.203125
3055616,42.203125
3059712,42.203125
3063808,42.203125
3067904,42.203125
3072000,42.203125
3076096,42.203125
3080192,42.203125
3084288,42.203125
3088384,42.203125
3092480,42.203125
3096576,42.203125
3100672,42.203125
3104768,42.203125
3108864,42.203125
3112960,42.203125
3117056,42.203125
3121152,42.203125
3125248,42.203125
3129344,42.203125
3133440,42.203125
3137536,42.203125
3141632,42.203125
3145728,42.203125
3149824,42.203125
3153920,42.203125
3158016,42.203125
3162112,42.203125
3166208,42.203125
3170304,42.203125
3174400,42.203125
3178496,42.203125
3182592,42.203125
3186688,42.203125
3190784,42.203125
3194880,42.203125
3198976,42.203125
3203072,50.461181640625
3207168,52.7734375
3211264,52.7734375
3215360,52.7734375
3219456,52.7734375
3223552,52.7734375
3227648,52.7734375
3231744,52.7734375
3235840,52.7734375
3239936,52.7734375
3244032,52.7734375
3248128,52.7734375
3252224,52.7734375
3256320,52.7734375
3260416,52.7734375
3264512,52.7734375
3268608,52.7734375
3272704,52.7734375
3276800,52.7734375
3280896,52.7734375
3284992,52.7734375
3289088,52.7734375
3293184,52.7734375
3297280,52.7734375
3301376,52.7734375
3305472,52.7734375
3309568,52.7734375
3313664,52.7734375
3317760,52.7734375
3321856,52.7734375
3325952,52.7734375
3330048,52.7734375
3334144,52.7734375
3338240,52.7734375
3342336,52.7734375
3346432,52.7734375
3350528,52.7734375
3354624,52.7734375
3358720,52.7734375
3362816,52.7734375
3366912,52.7734375
3371008,52.7734375
3375104,52.7734375
3379200,52.7734375
3383296,52.7734375
3387392,52.7734375
3391488,52.7734375
3395584,52.7734375
3399680,52.7734375
3403776,52.7734375
3407872,52.7734375
3411968,52.7734375
3416064,52.7734375
3420160,52.7734375
3424256,52.7734375
3428352,52.7734375
3432448,52.7734375
3436544,52.7734375
3440640,52.7734375
3444736,52.7734375
3448832,52.7734375
3452928,52.7734375
3457024,52.7734375
3461120,52.7734375
3465216,52.7734375
3469312,52.7734375
3473408,52.7734375
3477504,52.7734375
3481600,52.7734375
3485696,52.7734375
3489792,52.7734375
3493888,52.7734375
3497984,52.7734375
3502080,52.7734375
3506176,52.7734375
3510272,52.7734375
3514368,52.7734375
3518464,52.7734375
3522560,52.568359375
3526656,52.4609375
3530752,52.4609375
3534848,52.4609375
3538944,52.4609375
3543040,52.4609375
3547136,52.4609375
3551232,52.4609375
3555328,52.4609375
3559424,52.4609375
3563520,52.4609375
3567616,52.4609375
3571712,52.4609375
3575808,52.4609375
3579904,52.4609375
3584000,52.4609375
3588096,52.4609375
3592192,52.4609375
3596288,52.4609375
3600384,52.4609375
3604480,52.4609375
3608576,52.4609375
3612672,52.4609375
3616768,52.4609375
3620864,52.4609375
3624960,52.4609375
3629056,52.4609375
3633152,52.4609375
3637248,52.4609375
3641344,52.4609375
3645440,52.4609375
3649536,52.4609375
3653632,52.4609375
3657728,52.4609375
3661824,52.4609375
3665920,52.4609375
3670016,52.4609375
3674112,52.4609375
3678208,52.4609375
3682304,52.4609375
3686400,52.4609375
3690496,52.4609375
3694592,52.4609375
3698688,52.4609375
3702784,52.4609375
3706880,52.4609375
3710976,52.4609375
3715072,52.4609375
3719168,52.4609375
3723264,52.4609375
3727360,52.4609375
3731456,52.4609375
3735552,52.4609375
3739648,52.4609375
3743744,52.4609375
3747840,52.4609375
3751936,52.4609375
3756032,52.4609375
3760128,52.4609375
3764224,52.4609375
3768320,52.4609375
3772416,52.4609375
3776512,52.4609375
3780608,52.4609375
3784704,52.4609375
3788800,52.4609375
3792896,52.4609375
3796992,52.4609375
3801088,52.4609375
3805184,52.4609375
3809280,52.4609375
3813376,52.4609375
3817472,52.4609375
3821568,52.4609375
3825664,52.4609375
3829760,52.4609375
3833856,52.4609375
3837952,52.4609375
3842048,52.7431640625
3846144,52.9921875
3850240,52.9921875
3854336,52.9921875
3858432,52.9921875
3862528,52.9921875
3866624,52.9921875
3870720,52.9921875
3874816,52.9921875
3878912,52.9921875
3883008,52.9921875
3887104,52.9921875
3891200,52.9921875
3895296,52.9921875
3899392,52.9921875
3903488,52.9921875
3907584,52.9921875
3911680,52.9921875
3915776,52.9921875
3919872,52.9921875
3923968,52.9921875
3928064,52.9921875
3932160,52.9921875
3936256,52.9921875
3940352,52.9921875
3944448,52.9921875
3948544,52.9921875
3952640,52.9921875
3956736,52.9921875
3960832,52.9921875
3964928,52.9921875
3969024,52.9921875
3973120,52.9921875
3977216,52.9921875
3981312,52.9921875
